Project Name,Package Name,Type Name,Method Name,Code Smell
carballo,com.alonsoruibal.chess,Board,getPieceIntAt,Long Statement
carballo,com.alonsoruibal.chess,Board,getPieceAt,Long Statement
carballo,com.alonsoruibal.chess,Board,getPieceUnicodeAt,Long Statement
carballo,com.alonsoruibal.chess,Board,getPieceUnicodeAt,Long Statement
carballo,com.alonsoruibal.chess,Board,setPieceAt,Complex Method
carballo,com.alonsoruibal.chess,Board,getFen,Complex Conditional
carballo,com.alonsoruibal.chess,Board,getFen,Complex Conditional
carballo,com.alonsoruibal.chess,Board,getFen,Complex Method
carballo,com.alonsoruibal.chess,Board,getFen,Long Statement
carballo,com.alonsoruibal.chess,Board,setFenMove,Complex Conditional
carballo,com.alonsoruibal.chess,Board,setFenMove,Complex Method
carballo,com.alonsoruibal.chess,Board,setFenMove,Empty catch clause
carballo,com.alonsoruibal.chess,Board,setFenMove,Empty catch clause
carballo,com.alonsoruibal.chess,Board,setFenMove,Long Method
carballo,com.alonsoruibal.chess,Board,setFenMove,Long Statement
carballo,com.alonsoruibal.chess,Board,setFenMove,Long Statement
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Magic Number
carballo,com.alonsoruibal.chess,Board,setFenMove,Missing default
carballo,com.alonsoruibal.chess,Board,toString,Long Statement
carballo,com.alonsoruibal.chess,Board,toString,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Complex Conditional
carballo,com.alonsoruibal.chess,Board,doMove,Complex Conditional
carballo,com.alonsoruibal.chess,Board,doMove,Complex Conditional
carballo,com.alonsoruibal.chess,Board,doMove,Complex Conditional
carballo,com.alonsoruibal.chess,Board,doMove,Complex Conditional
carballo,com.alonsoruibal.chess,Board,doMove,Complex Method
carballo,com.alonsoruibal.chess,Board,doMove,Long Method
carballo,com.alonsoruibal.chess,Board,doMove,Long Statement
carballo,com.alonsoruibal.chess,Board,doMove,Long Statement
carballo,com.alonsoruibal.chess,Board,doMove,Long Statement
carballo,com.alonsoruibal.chess,Board,doMove,Long Statement
carballo,com.alonsoruibal.chess,Board,doMove,Long Statement
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,doMove,Magic Number
carballo,com.alonsoruibal.chess,Board,isEndGame,Magic Number
carballo,com.alonsoruibal.chess,Board,isEndGame,Magic Number
carballo,com.alonsoruibal.chess,Board,isDraw,Long Statement
carballo,com.alonsoruibal.chess,Board,isDraw,Magic Number
carballo,com.alonsoruibal.chess,Board,isDraw,Magic Number
carballo,com.alonsoruibal.chess,Board,isDraw,Magic Number
carballo,com.alonsoruibal.chess,Board,isDraw,Magic Number
carballo,com.alonsoruibal.chess,Board,isDraw,Magic Number
carballo,com.alonsoruibal.chess,Board,see,Long Statement
carballo,com.alonsoruibal.chess,Board,see,Complex Conditional
carballo,com.alonsoruibal.chess,Board,see,Long Statement
carballo,com.alonsoruibal.chess,Board,see,Complex Method
carballo,com.alonsoruibal.chess,Board,isPassedPawn,Long Statement
carballo,com.alonsoruibal.chess,Board,isPassedPawn,Long Statement
carballo,com.alonsoruibal.chess,Board,isPassedPawn,Magic Number
carballo,com.alonsoruibal.chess,Board,isPassedPawn,Magic Number
carballo,com.alonsoruibal.chess,Board,isPassedPawn,Magic Number
carballo,com.alonsoruibal.chess,Config,calculateErrorsFromElo,Magic Number
carballo,com.alonsoruibal.chess,Config,calculateErrorsFromElo,Magic Number
carballo,com.alonsoruibal.chess,Config,calculateErrorsFromElo,Magic Number
carballo,com.alonsoruibal.chess,Config,calculateErrorsFromElo,Magic Number
carballo,com.alonsoruibal.chess,Config,calculateErrorsFromElo,Magic Number
carballo,com.alonsoruibal.chess,Config,calculateErrorsFromElo,Magic Number
carballo,com.alonsoruibal.chess,Config,calculateErrorsFromElo,Magic Number
carballo,com.alonsoruibal.chess,Config,calculateErrorsFromElo,Magic Number
carballo,com.alonsoruibal.chess,Move,genMove,Long Parameter List
carballo,com.alonsoruibal.chess,Move,genMove,Long Statement
carballo,com.alonsoruibal.chess,Move,genMove,Magic Number
carballo,com.alonsoruibal.chess,Move,genMove,Magic Number
carballo,com.alonsoruibal.chess,Move,genMove,Magic Number
carballo,com.alonsoruibal.chess,Move,genMove,Long Parameter List
carballo,com.alonsoruibal.chess,Move,genMove,Magic Number
carballo,com.alonsoruibal.chess,Move,genMove,Magic Number
carballo,com.alonsoruibal.chess,Move,genMove,Magic Number
carballo,com.alonsoruibal.chess,Move,getToIndex,Magic Number
carballo,com.alonsoruibal.chess,Move,getToSquare,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromIndex,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromIndex,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromSquare,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromSquare,Magic Number
carballo,com.alonsoruibal.chess,Move,getPieceMoved,Magic Number
carballo,com.alonsoruibal.chess,Move,getPieceMoved,Magic Number
carballo,com.alonsoruibal.chess,Move,getMoveType,Magic Number
carballo,com.alonsoruibal.chess,Move,getMoveType,Magic Number
carballo,com.alonsoruibal.chess,Move,isPawnPush,Magic Number
carballo,com.alonsoruibal.chess,Move,isPawnPush,Magic Number
carballo,com.alonsoruibal.chess,Move,isPawnPush678,Long Statement
carballo,com.alonsoruibal.chess,Move,isPawnPush678,Magic Number
carballo,com.alonsoruibal.chess,Move,isPawnPush678,Magic Number
carballo,com.alonsoruibal.chess,Move,isPawnPush5678,Long Statement
carballo,com.alonsoruibal.chess,Move,isPawnPush5678,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Complex Conditional
carballo,com.alonsoruibal.chess,Move,getFromString,Complex Conditional
carballo,com.alonsoruibal.chess,Move,getFromString,Complex Conditional
carballo,com.alonsoruibal.chess,Move,getFromString,Complex Method
carballo,com.alonsoruibal.chess,Move,getFromString,Long Method
carballo,com.alonsoruibal.chess,Move,getFromString,Long Statement
carballo,com.alonsoruibal.chess,Move,getFromString,Long Statement
carballo,com.alonsoruibal.chess,Move,getFromString,Long Statement
carballo,com.alonsoruibal.chess,Move,getFromString,Long Statement
carballo,com.alonsoruibal.chess,Move,getFromString,Long Statement
carballo,com.alonsoruibal.chess,Move,getFromString,Long Statement
carballo,com.alonsoruibal.chess,Move,getFromString,Long Statement
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,getFromString,Magic Number
carballo,com.alonsoruibal.chess,Move,toStringExt,Complex Method
carballo,com.alonsoruibal.chess,Move,toSan,Complex Conditional
carballo,com.alonsoruibal.chess,Move,toSan,Complex Method
carballo,com.alonsoruibal.chess,Move,toSan,Long Statement
carballo,com.alonsoruibal.chess,Move,toSan,Magic Number
carballo,com.alonsoruibal.chess,Move,toSan,Magic Number
carballo,com.alonsoruibal.chess,Move,toSan,Magic Number
carballo,com.alonsoruibal.chess,Move,toSan,Magic Number
carballo,com.alonsoruibal.chess,Pgn,getPgn,Complex Method
carballo,com.alonsoruibal.chess,Pgn,getPgn,Long Parameter List
carballo,com.alonsoruibal.chess,Pgn,getPgn,Long Statement
carballo,com.alonsoruibal.chess,Pgn,getPgn,Magic Number
carballo,com.alonsoruibal.chess,Pgn,getPgn,Magic Number
carballo,com.alonsoruibal.chess,Pgn,getPgn,Magic Number
carballo,com.alonsoruibal.chess,Pgn,parsePgn,Complex Conditional
carballo,com.alonsoruibal.chess,Pgn,parsePgn,Complex Method
carballo,com.alonsoruibal.chess,Pgn,parsePgn,Long Method
carballo,com.alonsoruibal.chess,AttacksInfoTest,testPinnedRook,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Complex Method
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Long Method
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
carballo,com.alonsoruibal.chess,BasicEloTest,testElo,Magic Number
